QuestionText,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation,Difficulty,Marks,ImageUrl,VideoUrl
"The Indian Constitution, adopted on 26th November 1949 and enforced on 26th January 1950, is the supreme law of India. Which of the following statements correctly describes the nature of the Indian Constitution?","The Indian Constitution is a rigid and federal constitution with a strong unitary bias, having been derived from various sources including the British Constitution, US Constitution, and Irish Constitution.","The Indian Constitution is completely flexible and can be amended by a simple majority in Parliament, similar to ordinary legislation.","The Indian Constitution is purely federal in nature with equal distribution of powers between the Center and States, similar to the US Constitution.","The Indian Constitution is unitary in nature with all powers concentrated in the Central government, similar to the British system.","A","The Indian Constitution is described as quasi-federal or federal with a strong unitary bias. It combines federal features like a written constitution, division of powers, and an independent judiciary with unitary features like a strong central government, emergency provisions, and an integrated judiciary.","Medium",2,"",""
"Fundamental Rights in the Indian Constitution are enshrined in Part III (Articles 12-35) and are inspired by the US Constitution's Bill of Rights. Which of the following pairs correctly matches the Fundamental Right with its corresponding Article?","Right to Equality - Articles 14-18, Right to Freedom - Articles 19-22, Right against Exploitation - Articles 23-24","Right to Equality - Articles 15-19, Right to Freedom - Articles 20-24, Cultural and Educational Rights - Articles 29-30","Right to Equality - Articles 12-16, Right to Freedom - Articles 17-21, Right to Constitutional Remedies - Articles 32-35","Right to Equality - Articles 14-18, Right to Freedom - Articles 19-22, Right to Constitutional Remedies - Articles 32-35","D","The correct matching is: Right to Equality (Articles 14-18), Right to Freedom (Articles 19-22), Right to Constitutional Remedies (Articles 32-35). Right against Exploitation covers Articles 23-24, Cultural and Educational Rights cover Articles 29-30, and Right to Religion covers Articles 25-28.","Medium",2,"",""
"Directive Principles are contained in which part of the Indian Constitution?","Part III","Part IV","Part II","Part I","B","DPSPs are contained in Part IV (Articles 36-51) of the Indian Constitution. They are inspired by the Irish Constitution and promote the concept of a welfare state. They are non-justiciable in nature.","Easy",1,"",""
"The Indian parliamentary system is based on the British model and follows the Westminster system of government. Which of the following features is NOT a characteristic of the Indian parliamentary system?","The President appoints the Prime Minister and other ministers on the advice of the Prime Minister.","The Council of Ministers is collectively responsible to the Lok Sabha and can be removed by a no-confidence motion.","The Prime Minister is the head of the government and enjoys real executive powers.","The President can dismiss the Prime Minister at any time without parliamentary approval.","D","The statement that the President can dismiss the Prime Minister at any time without parliamentary approval is NOT a characteristic of the Indian parliamentary system. In the parliamentary system, the President acts on the advice of the Council of Ministers.","Medium",2,"",""
"What is the minimum age prescribed for election as a member of the Lok Sabha?","18 years","21 years","25 years","30 years","C","The minimum age prescribed for election as a member of the Lok Sabha is 25 years. For Rajya Sabha, it's 30 years, and for Legislative Assembly/Vidhan Sabha, it's 25 years. For voting, the minimum age is 18 years.","Easy",1,"",""
"Which of the following schedules of the Indian Constitution deals with the allocation of seats in the Rajya Sabha?","Third Schedule","Fourth Schedule","Fifth Schedule","Sixth Schedule","B","The Fourth Schedule deals with the allocation of seats in the Rajya Sabha for each state and union territory. Third Schedule contains forms of oaths, Fifth Schedule deals with protection of tribal interests, and Sixth Schedule deals with administration of tribal areas.","Medium",1,"",""
"The concept of 'Judicial Review' in the Indian Constitution is borrowed from which country?","USA","UK","Canada","Australia","A","The concept of Judicial Review is borrowed from the US Constitution. It allows the Supreme Court and High Courts to examine the constitutionality of legislative and executive actions.","Easy",1,"",""
"Which article of the Indian Constitution declares India as a sovereign, socialist, secular, democratic republic?","Article 1","Article 14","Article 21","Article 26","A","Article 1 declares India as a sovereign, socialist, secular, democratic republic. It also states that India is a Union of States.","Easy",1,"",""
"The National Human Rights Commission (NHRC) of India was established in which year?","1990","1993","1995","1997","B","The National Human Rights Commission (NHRC) was established in 1993 under the Protection of Human Rights Act, 1993. It was constituted in October 1993.","Medium",1,"",""
"Which of the following is NOT a fundamental right under the Indian Constitution?","Right to Property","Right to Equality","Right to Freedom","Right to Constitutional Remedies","A","Right to Property was removed from the list of Fundamental Rights by the 44th Constitutional Amendment Act, 1978. It is now a legal right under Article 300A.","Easy",1,"",""
