Question No.,Question Name English,Option 1,Option 2 ,Option 3 ,Option 4 ,Correct Option ,Question Image,Solution Image ,Subject Name,Difficulty,Option 1 Image ,Option 2 Image ,Option 3 Image ,Option 4 Image ,Solution Detail English,Created At
1,Appendix of Testis develops from,Allantois,Paramesonephric duct,Mesonephric duct,Cloaca,1,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>Mesonephric Duct Remnants in Males </strong></p>
<p>The cranial end of the mesonephric duct may persist as an <strong>appendix of the epididymis</strong>, which is usually attached to the head of the epididymis Caudal to the efferent ductules, some mesonephric tubules may persist as a small body, <strong>the paradidymis.</strong></p>
<p><strong>&nbsp;</strong></p>
<p><strong>Mesonephric Duct Remnants in Females </strong></p>
<p><strong>The cranial end</strong> of the mesonephric duct may persist as an <strong>appendix vesiculosa</strong>. A few blind tubules and a duct, the <strong>epoophoron,</strong> correspond to the efferent ductules and duct of the epididymis in the male. The epoophoron may persist in the mesovarium between the ovary and uterine tube .Closer to the uterus, some rudimentary tubules may persist as the<strong> paroophoron</strong>. Parts of the mesonephric duct, corresponding to the ductus deferens and ejaculatory duct, may persist as <strong>Gartner&rsquo;s duct cysts</strong> between the layers of the broad ligament along the lateral wall of the uterus and in the wall of the vagina&nbsp;</p>
<p><strong>Paramesonephric Duct Remnants in Males </strong></p>
<p>The cranial end of the paramesonephric duct may persist as a <strong>vesicular appendix of the testis, </strong>which is attached to the superior pole of the testis .</p>
<p>The prostatic utricle, a small saclike structure that opens into the prostatic urethra, is homologous to the vagina.</p>
<p><strong>&nbsp;</strong></p>
<p><strong>Paramesonephric Duct Remnants in Females </strong></p>
<p>Part of the cranial end of the paramesonephric duct that does not contribute to the infundibulum of the uterine tube may persist as a <strong>vesicular appendage</strong></p>",Null
2,Tail of pancreas   is related with:,Splenoorenal ligament,Gastrosplenic ligament,Phrenico colic ligament,Falciform ligament,0,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>Remember:</strong></p>
<p><strong>&nbsp;</strong></p>
<p><strong>The structures lying in the Gastrosplenic ligament</strong></p>
<ol>
<li>Left gastroepiploic vessels</li>
<li>Short gastric vessels</li>
<li>Lymphatics</li>
<li>Sympathetic nerves</li>
</ol>
<p><strong>&nbsp;</strong></p>
<p><strong>The structure lying in the Spleenoorenal ligament</strong></p>
<ol>
<li><strong>Tail of pancreas</strong></li>
<li>Splenic vessels</li>
<li>Pancreaticosplenic lymph nodes</li>
<li>Lymphatics</li>
<li>Sympathetic nerves</li>
<li>Fat</li>
</ol>",Null
3,Which one of the following muscles does NOT develop from the second pharyngeal arch?,Posterior belly of digastrics,Tensor Palati,Stapedius,Stylohyoid,1,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>Tensor Palati does NOT develop from the second pharyngeal arch But from Ist Arch.</strong></p>
<p><strong>&nbsp;</strong></p>
<p><strong>Pharyngeal Arch 1 Derivatives are :</strong></p>
<p><strong>&nbsp;</strong></p>
<ul>
<li>Meckels Cartilage:</li>
<li>Mandible,</li>
<li>Malleus,</li>
<li>Incus,</li>
<li>Spheno Mandibular Ligament</li>
<li>Muscles: Muscles of Mastication (Medial Pterygoid and Lateral Pterygoid, Masseter, Temporalis)</li>
<li>Two Tensors (<strong>Tensor Tympani</strong>, Tensor Palati)</li>
<li>Mylohyoid, anterior belly of digastrics</li>
</ul>",Null
4,Placenta is formed by,Decidua basalis and Chorion Frondosum,Decidua capsularis  and chorion laevae,Decidua parietalis and Chorion Frondosum,Decidua basalis and Chorion laevae,0,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>The Decidua &nbsp;&nbsp;</strong>refers to the gravid endometrium, the functional layer of the endometrium . The three regions of the decidua are named according to their relation to the implantation site <strong>. The decidua basalis is the part of the decidua deep to the conceptus that forms the maternal part of the placenta</strong>.<strong> The fetal part of the placenta is formed by the villous chorion</strong>. The chorionic villi that arise from it project into the intervillous space containing maternal blood.<strong> The &nbsp;&nbsp;Chorion Frondosum </strong>refers to &nbsp;Part of the Fetal Origin of Placenta.</p>
<strong>Placenta</strong>
<ul>
<li>Shape- circular, flat disc ( Discoid)</li>
<li>Diameter &ndash;20cms</li>
<li>Thickness- 2.5 cms</li>
<li>Weight &ndash; 500gms</li>
</ul>",Null
5,Uterine Artery is a branch of:,Aorta,External iliac artery,Internal iliac artery,Inferior epigastric artery,2,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>Uterine artery is a &nbsp;branch &nbsp;of Internal iliac artery in females</strong></p>
<p><strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Internal iliac artery: </strong></p>
<table width=""630"">
<tbody>
<tr>
<td width=""630"">
<ul>
<li>is <strong>smaller</strong> terminal branch of common iliac artery.</li>
<li>It is about one and half inches long (3-3.5cm).</li>
<li>It begins in front of <strong>sacroiliac joint.</strong></li>
<li>It divides into Ant. and Post. Divisions at upper margin of greater sciatic notch.</li>
</ul>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p>
</td>
</tr>
<tr>
<td width=""630"">
<p>&nbsp; Branches from <strong>Anterior Division</strong>: - (Six in males and seven in females.)</p>
<ul>
<li><strong>Superior vesical artery.</strong></li>
<li><strong>Inferior </strong></li>
<li><strong>Obturator </strong></li>
<li><strong>Middle rectal</strong></li>
<li><strong>Inferior Gluteal.</strong></li>
<li><strong>Internal pudendal </strong></li>
<li><strong>In females, inferior vesical is replaced by vaginal artery</strong></li>
<li><strong>Uterine artery is the 7<sup>th</sup> branch in females. </strong></li>
</ul>
</td>
</tr>
<tr>
<td width=""630"">
<p>Branches from <strong>Posterior Division:</strong></p>
<ul>
<li><strong>Superior gluteal.</strong></li>
<li><strong>IIio lumbar.</strong></li>
<li><strong>Lateral sacral.</strong></li>
</ul>
</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>",Null
6,Subcutaneous muscle is,Sternocleidomastoid,Mylohyoid,Palmaris longus,Palmaris brevis,3,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>&nbsp;Important Subcutaneous muscles &nbsp;are :</strong></p>
<p><strong>&nbsp;</strong></p>
<table>
<tbody>
<tr>
<td width=""276"">
<p><strong>&nbsp;</strong></p>
<ul>
<li><strong>Dartos in Scrotum</strong></li>
<li><strong>Platysma in neck</strong></li>
<li><strong>Corrugator cutis ani</strong></li>
<li><strong>Palmaris brevis</strong></li>
<li><strong>Muscles of scalp</strong></li>
<li><strong>Subareolar muscles of nipple</strong></li>
</ul>
<p><strong>&nbsp;</strong></p>
</td>
</tr>
</tbody>
</table>
<p><strong>&nbsp;</strong></p>
<p><strong>&ldquo;Palmaris brevis&rdquo; &nbsp;</strong>is a <strong>thin, quadrilateral muscle, lying beneath the skin of the ulnar side of the palm</strong> . It arises from the flexor retinaculum and the medial border of the central part of the palmar aponeurosis, and is attached to the dermis on the ulnar border of the hand.&nbsp;</p>
<p>Palmaris brevis is superficial to the ulnar artery and the superficial terminal branch of the ulnar nerve.&nbsp;</p>
<p>Palmaris brevis is <strong>innervated by the superficial branch of the ulnar nerve, C8 and T1</strong>.&nbsp;</p>
<p>Palmaris brevis wrinkles the skin on the ulnar side of the palm of the hand and <strong>deepens the hollow of the palm </strong>by accentuating the hypothenar eminence.</p>",Null
7,Circle of Willis is not formed by:,Anterior cerebral artery,Middle cerebral artery,Posterior communicating artery,Posterior cerebellar artery,3,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>It </strong>is an &nbsp;&nbsp;arterial circle formed at the base of brain by interconnections between the main arteries supplying brain.</p>
<p><strong>&nbsp;</strong></p>
<p><strong>The Arteries forming Circle of Willis are </strong></p>
<p><strong>&nbsp;</strong></p>
<ul>
<li><strong>Anteriorly: anterior communicating artery</strong></li>
<li><strong>Posteriorly: basilar artery as it divides into two posterior cerebral arteries</strong></li>
<li><strong>On each side: </strong></li>
</ul>
<p><strong>&nbsp;</strong></p>
<ul>
<li><strong>Anterior cerebral</strong></li>
<li><strong>Internal carotid</strong></li>
<li><strong>Posterior communicating </strong></li>
<li><strong>Posterior cerebral arteries.</strong></li>
</ul>
<p>&nbsp;</p>
<p><strong>&nbsp;</strong></p>
<p><strong>Clinical importance of circle of Willis</strong></p>
<p><strong>&nbsp;</strong></p>
<ul>
<li><strong>It helps in equilising pressure in arteries of two sides.</strong></li>
<li><strong>It also helps in maintaining blood supply to different parts of brain, if the main artery of one side is obstructed</strong></li>
</ul>",Null
8,"The contents of the spermatic cord include the following, except:",Ductus deferens,Pampaniform plexus,Genital branch of genitofemoral nerve,Ilioinguinal nerve,3,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>ilio inguinal nerve &nbsp;is not one of the Contents of Spermatic cord.</strong></p>
<p><strong>&nbsp;</strong></p>
<p><strong>Contents of Spermatic cord are:</strong></p>
<p><strong>&nbsp;</strong></p>
<ul>
<li>Ductus deferens</li>
<li>Testicular vessels</li>
<li>Artery of ductus deferens</li>
<li>Pampniform plexus of veins</li>
<li>Cremasteric vessels</li>
<li>Lymphatics from testis</li>
<li>Genital branch of Genitofemoral nerve</li>
<li>Remains of processus vaginalis</li>
<li>Loose areolar tissues</li>
</ul>",Null
9,The muscles consistently active in initiating and maintaining a movement are called:,Synergists,Fixators,Prime movers,Antagonists,2,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>Remember the Definitions</strong></p>
<p><strong>&nbsp;</strong></p>
<ul>
<li><strong>Synergist: aiding the action of prime mover</strong></li>
<li><strong>Fixator: preventing any unnecessary movement, stabiloizes one part of body during movement of other part.</strong></li>
<li><strong>Prime mover: active in initiating and maintaining movement</strong></li>
<li><strong>Antagonist: muscle acting in opposition to movement generated by agonist.</strong></li>
</ul>",Null
10,"The following glands contain the myoepithelial cells, except:",Mammary glands,Salivary glands,Sebaceous glands,Sweat glands,0,Null,Null,ANATOMY,Medium,Null,Null,Null,Null,"<p><strong>The Sweat Glands</strong></p>
<ul>
<li>The sweat glands are present in the dermis of skin</li>
<li>They secrete watery sweat secretions.</li>
<li>They are simple coiled tubular glands lined with Cuboidal cells.</li>
<li>The Myoepithelial or Basket cells are present between these cuboidal cells and their basement membrane</li>
</ul>
<p>&nbsp;</p>
<p><strong>The Sebaceous Glands</strong></p>
<p><strong>&nbsp;</strong></p>
<ul>
<li>These are present in the dermis of hairy skin</li>
<li>They are concerned with secretion of fatty variety called as sebum which oils the hair</li>
<li>Modified sebaceous glands are present in eyelid (Tarsal glands), labia minora, prepuce of penis</li>
<li>Sebaceous glands are absent from palms and soles.</li>
<li><strong>The Myoepithelial or Basket cells are Absent</strong></li>
</ul>",Null
